segment                                   peek  keep  take  seal  free
FID_LIST_APPEND_K1247                        0     0     0     2     0
FID_JSON_WRITE_LN_K1201                      0     0     0     2     0
FID_F64_SHORTEST_FAST_K858                   0     2     0     0     0
FID_F64_LITERAL                              0     1     1     0     0
FID_F64_FROM_DEC_K945                        0     2     0     0     0
FID_F64_DIV                                  0     2     0     0     0
FID_F64_DIGITS_TEXT_K513                     0     0     0     2     0
FID_F64_DG_STEP_K238                         0     2     0     0     0
FID_F64_DG_STEP_K237                         0     2     0     0     0
FID_F64_DG_FIX                               0     2     0     0     0
FID_F64_DG_DIGIT                             0     2     0     0     0
FID_ENCODE_ROWS_K1011                        0     0     0     2     0
FID_ENCODE_ROWS                              0     1     1     0     0
FID_ENCODE_PUT_PRIM                          0     0     2     0     0
FID_ENCODE_LINE_INLINE_K1013                 0     0     0     2     0
FID_ENCODE_EMIT_K1127                        0     0     0     2     0
FID_ENCODE_EMIT_K1126                        0     0     0     2     0
FID_ENCODE_EMIT_K1124                        0     0     0     2     0
FID_ENCODE_EMIT_K1123                        0     0     0     2     0
FID_ENCODE_EMIT_K1121                        0     0     0     2     0
FID_ENCODE_EMIT_K1120                        0     0     0     2     0
FID_ENCODE_EMIT_K1119                        0     0     0     2     0
FID_ENCODE_EMIT_K1118                        0     0     0     2     0
FID_ENCODE_EMIT_K1116                        0     0     0     2     0
FID_ENCODE_EMIT_K1115                        0     0     0     2     0
FID_ENCODE_EMIT_K1114                        0     0     0     2     0
FID_ENCODE_EMIT_K1113                        0     0     0     2     0
FID_ENCODE_EMIT_K1112                        0     0     0     2     0
FID_ENCODE_EMIT_K1111                        0     0     0     2     0
FID_ENCODE_EMIT_K1110                        0     0     0     2     0
FID_DECODE_POP_K452                          0     0     0     2     0
FID_DECODE_POP_K451                          0     0     0     2     0
FID_DECODE_MERGE_K354                        0     2     0     0     0
FID_DECODE_ARRAY_K581                        0     0     0     2     0
FID_CLI_E77_K1336                            0     0     0     2     0
FID_CLI_E77_K1334                            0     0     0     2     0
FID_CLI_E77_K1332                            0     0     0     2     0
FID_CLI_C_ADD                                0     0     0     2     0
FID_CLI_BEST_ONE_K1169                       0     2     0     0     0
FID_BIGNAT_SUB                               0     0     2     0     0
FID_BIGNAT_MUL                               0     1     1     0     0
FID_BIGNAT_DIV_STEP                          0     2     0     0     0
FID_BIGNAT_DIVMOD                            0     2     0     0     0
spin_87                                      0     0     1     0     0
spin_86                                      0     0     1     0     0
spin_79                                      0     0     1     0     0
spin_78                                      0     0     1     0     0
spin_72                                      0     0     1     0     0
spin_69                                      0     1     0     0     0
spin_63                                      0     0     1     0     0
spin_62                                      0     1     0     0     0
spin_6                                       0     0     1     0     0
spin_54                                      0     0     1     0     0
spin_459                                     0     0     1     0     0
spin_449                                     0     0     1     0     0
spin_441                                     0     0     1     0     0
spin_44                                      0     0     1     0     0
spin_436                                     0     0     1     0     0
spin_432                                     0     0     1     0     0
spin_43                                      0     1     0     0     0
spin_419                                     0     0     1     0     0
spin_411                                     0     0     1     0     0
spin_404                                     0     1     0     0     0
spin_396                                     0     1     0     0     0
spin_380                                     0     0     1     0     0
spin_38                                      0     0     1     0     0
spin_339                                     0     0     1     0     0
spin_335                                     0     0     1     0     0
spin_331                                     0     0     0     1     0
spin_330                                     0     0     1     0     0
spin_314                                     0     1     0     0     0
spin_31                                      0     0     1     0     0
spin_303                                     0     1     0     0     0
spin_294                                     0     1     0     0     0
spin_274                                     0     0     1     0     0
spin_266                                     0     0     1     0     0
spin_248                                     0     1     0     0     0
spin_245                                     0     1     0     0     0
spin_237                                     0     0     1     0     0
spin_23                                      0     0     1     0     0
spin_229                                     0     0     1     0     0
spin_228                                     0     0     1     0     0
spin_226                                     0     0     1     0     0
spin_224                                     0     1     0     0     0
spin_219                                     0     0     1     0     0
spin_215                                     0     0     1     0     0
spin_214                                     0     0     1     0     0
spin_213                                     0     0     1     0     0
spin_204                                     0     1     0     0     0
spin_203                                     0     0     1     0     0
spin_178                                     0     0     1     0     0
spin_176                                     0     0     0     1     0
spin_175                                     0     0     1     0     0
spin_160                                     0     0     1     0     0
spin_158                                     0     0     0     1     0
spin_155                                     0     0     1     0     0
spin_146                                     0     1     0     0     0
spin_144                                     0     0     0     1     0
spin_143                                     0     0     1     0     0
spin_12                                      0     0     1     0     0
FID_STRING_REPEAT                            0     1     0     0     0
FID_STRING_APPEND                            0     0     1     0     0
FID_READ_LOOP                                0     0     1     0     0
FID_LIST_APPEND                              0     0     1     0     0
FID_JSON_RUN                                 0     0     1     0     0
FID_F64_SHORTEST_FAST_K859                   0     1     0     0     0
FID_F64_SHORTEST_FAST                        0     1     0     0     0
FID_F64_SERDE_VALUE                          0     1     0     0     0
FID_F64_SERDE_INT_STEP                       0     1     0     0     0
FID_F64_SERDE_INT                            0     0     1     0     0
FID_F64_SERDE_FRAC_STEP                      0     1     0     0     0
FID_F64_SERDE_FRAC                           0     0     1     0     0
FID_F64_ROUND_K832                           0     1     0     0     0
FID_F64_ROUND_K831                           0     1     0     0     0
FID_F64_ROUND_K830                           0     1     0     0     0
FID_F64_ROUND                                0     1     0     0     0
FID_F64_FROM_DEC_P10                         0     1     0     0     0
FID_F64_FIXED1_TENTHS_K666                   0     1     0     0     0
FID_F64_FIXED1_TENTHS_K665                   0     1     0     0     0
FID_F64_DIGITS_TEXT                          0     0     1     0     0
FID_F64_DG_STEP_K241                         0     1     0     0     0
FID_F64_DG_STEP_K240                         0     1     0     0     0
FID_F64_DG_STEP_K239                         0     1     0     0     0
FID_F64_DG_STEP_K234                         0     1     0     0     0
FID_F64_DG_SCALE_K494                        0     1     0     0     0
FID_F64_DG_SCALE                             0     1     0     0     0
FID_F64_DG_FIX_K498                          0     1     0     0     0
FID_F64_DG_DIGIT_K172                        0     1     0     0     0
FID_ENCODE_ROW_LINE                          0     0     1     0     0
FID_ENCODE_ENCODE                            0     1     0     0     0
FID_ENCODE_EMIT_K1117                        0     1     0     0     0
FID_DECODE_SCAN_GO                           0     0     1     0     0
FID_DECODE_PRIMS_GO                          0     0     1     0     0
FID_DECODE_LIT                               0     0     1     0     0
FID_DECODE_LEN_FITS                          0     1     0     0     0
FID_DECODE_LEN_BODY                          0     1     0     0     0
FID_DECODE_KV_K225                           0     1     0     0     0
FID_DECODE_HDR_D_K111                        0     1     0     0     0
FID_DECODE_HDR_B                             0     1     0     0     0
FID_DECODE_FIELDS_GO                         0     0     1     0     0
FID_DECODE_EXPAND_K971                       0     1     0     0     0
FID_CLI_VALIDATE_K1364                       0     1     0     0     0
FID_CLI_VALIDATE_K1363                       0     1     0     0     0
FID_CLI_VALIDATE_K1362                       0     1     0     0     0
FID_CLI_RESOLVE                              0     1     0     0     0
FID_CLI_INT_SHOW                             0     1     0     0     0
FID_CLI_INT_BEYOND                           0     1     0     0     0
FID_CLI_CONVERT                              0     1     0     0     0
FID_CLI_BEST_ONE_K1168                       0     1     0     0     0
FID_CLI_BEST_ONE_K1166                       0     1     0     0     0
FID_CLI_BEST_GO                              0     0     1     0     0
FID_BIGNAT_STRIP                             0     0     1     0     0
FID_BIGNAT_SHR                               0     1     0     0     0
FID_BIGNAT_SHL_BITS                          0     0     1     0     0
FID_BIGNAT_MUL_SMALL                         0     0     1     0     0
FID_BIGNAT_FROM_DEC                          0     0     1     0     0
FID_BIGNAT_DIV_STEP_K398                     0     1     0     0     0
spin_99                                      0     0     0     0     0
spin_95                                      0     0     0     0     0
spin_93                                      2     0     0     0     0
spin_92                                      0     0     0     0     0
spin_91                                      0     0     0     0     0
spin_90                                      0     0     0     0     0
spin_85                                      0     0     0     0     0
spin_83                                      0     0     0     0     0
spin_82                                      1     0     0     0     0
spin_81                                      0     0     0     0     0
spin_80                                      0     0     0     0     0
spin_77                                      0     0     0     0     0
spin_76                                      0     0     0     0     0
spin_74                                      0     0     0     0     0
spin_73                                      0     0     0     0     0
spin_70                                      0     0     0     0     0
spin_7                                       0     0     0     0     0
spin_68                                      0     0     0     0     0
spin_66                                      0     0     0     0     0
spin_65                                      0     0     0     0     0
spin_60                                      0     0     0     0     0
spin_59                                      0     0     0     0     0
spin_58                                      0     0     0     0     0
spin_57                                      0     0     0     0     0
spin_56                                      0     0     0     0     0
spin_55                                      0     0     0     0     0
spin_53                                      0     0     0     0     0
spin_52                                      0     0     0     0     0
spin_50                                      0     0     0     0     0
spin_5                                       0     0     0     0     0
spin_48                                      0     0     0     0     0
spin_462                                     0     0     0     0     0
spin_461                                     0     0     0     0     0
spin_460                                     0     0     0     0     0
spin_46                                      0     0     0     0     0
spin_458                                     0     0     0     0     0
spin_457                                     0     0     0     0     0
spin_456                                     0     0     0     0     0
spin_455                                     0     0     0     0     0
spin_453                                     0     0     0     0     0
spin_451                                     0     0     0     0     0
spin_450                                     0     0     0     0     0
spin_45                                      0     0     0     0     0
spin_447                                     1     0     0     0     0
spin_446                                     0     0     0     0     0
