using: bun /tmp/bend/bend2/main.ts
segment                                   peek  keep  take  seal  free
spin_541                                     0     0     1     2     0
spin_534                                     0     0     1     2     0
spin_533                                     0     0     1     2     0
spin_519                                     0     0     1     2     0
spin_510                                     0     0     1     2     0
spin_498                                     0     0     1     2     0
spin_496                                     0     0     1     2     0
spin_493                                     0     0     1     2     0
spin_48                                      0     0     1     2     0
spin_474                                     0     0     1     2     0
spin_470                                     0     0     1     2     0
spin_461                                     0     0     1     2     0
spin_454                                     0     0     1     2     0
spin_448                                     0     0     1     2     0
spin_427                                     0     0     1     2     0
spin_398                                     0     0     1     2     0
spin_396                                     0     0     1     2     0
spin_382                                     0     0     3     0     0
spin_34                                      0     0     1     2     0
spin_33                                      0     0     1     2     0
spin_324                                     0     0     1     2     0
spin_323                                     0     3     0     0     0
spin_32                                      0     0     1     2     0
spin_290                                     0     0     1     2     0
spin_29                                      0     0     1     2     0
spin_287                                     0     0     1     2     0
spin_258                                     0     0     3     0     0
spin_251                                     0     0     3     0     0
spin_24                                      0     0     1     2     0
spin_236                                     0     2     1     0     0
spin_2                                       0     0     1     2     0
spin_182                                     0     0     3     0     0
spin_178                                     0     0     1     2     0
spin_17                                      0     0     1     2     0
spin_145                                     0     0     1     2     0
spin_102                                     0     0     1     2     0
spin_101                                     0     0     1     2     0
FID_TEXT_KT_PUT_GO_K960                      0     0     0     3     0
FID_TEXT_KT_PUT_GO_K958                      0     0     0     3     0
FID_MAIN_C2189                               0     2     1     0     1
FID_JSON_KM_PUT_GO_K503                      0     0     0     3     0
FID_JSON_KM_PUT_GO_K501                      0     0     0     3     0
FID_F64_SHOW_TOON_FAST                       0     0     1     2     0
FID_F64_SHOW_JSON_FAST                       0     0     1     2     0
FID_F64_DG_DIGIT_FAST                        0     3     0     0     0
FID_ENCODE_ROW_LINE                          0     2     1     0     0
FID_ENCODE_PUT_JOIN                          0     0     1     2     0
FID_ENCODE_PUT_CELLS_SEQ                     0     0     1     2     0
FID_DECODE_XM_SET_GO_K169                    0     0     0     3     0
FID_DECODE_XM_SET_GO_K167                    0     0     0     3     0
FID_DECODE_KV                                0     0     1     2     0
FID_DECODE_ENTRY_GET_K71                     0     0     1     2     0
FID_CLI_UNKNOWN_LONG                         0     3     0     0     0
FID_BIGNAT_CMP                               0     0     3     0     0
FID_BIGNAT_ADD                               0     0     3     0     0
spin_55                                      0     0     2     0     0
spin_526                                     0     0     0     2     0
spin_522                                     0     1     1     0     0
spin_513                                     0     0     0     2     0
spin_50                                      0     0     0     2     0
spin_477                                     0     0     2     0     0
spin_468                                     0     0     0     2     0
spin_466                                     0     0     0     2     0
spin_465                                     0     0     2     0     0
spin_45                                      0     0     0     2     0
spin_444                                     0     0     0     2     0
spin_431                                     0     0     0     2     0
spin_430                                     0     0     0     2     0
spin_414                                     0     0     0     2     0
spin_405                                     0     0     0     2     0
spin_402                                     0     0     0     2     0
spin_400                                     0     0     0     2     0
spin_399                                     0     0     0     2     0
spin_389                                     0     0     0     2     0
spin_388                                     0     0     0     2     0
spin_378                                     0     0     0     2     0
spin_362                                     0     0     0     2     0
spin_359                                     0     0     0     2     0
spin_357                                     0     0     0     2     0
spin_346                                     0     0     2     0     0
spin_336                                     0     0     0     2     0
spin_334                                     0     0     0     2     0
spin_330                                     0     0     0     2     0
spin_325                                     0     2     0     0     0
spin_318                                     0     1     1     0     0
spin_314                                     0     0     0     2     0
spin_306                                     0     0     2     0     0
spin_301                                     0     2     0     0     0
spin_281                                     0     0     2     0     0
spin_268                                     0     1     1     0     0
spin_228                                     0     0     2     0     0
spin_22                                      0     0     0     2     0
spin_219                                     0     0     0     2     0
spin_179                                     0     1     1     0     0
spin_167                                     0     0     0     2     0
spin_159                                     0     1     1     0     0
spin_137                                     0     0     0     2     0
spin_114                                     0     0     0     2     0
FID_U32_SHOW_GO                              0     0     0     2     0
FID_TEXT_KT_PUT_GO_K961                      0     0     0     2     0
FID_TEXT_KT_PUT_GO_K959                      0     0     0     2     0
FID_STRING_TAKE_K645                         0     0     0     2     0
FID_STRING_APPEND_K1938                      0     0     0     2     0
FID_MAIN_C2197                               0     2     0     0     3
FID_MAIN_C2196                               0     2     0     0     0
FID_MAIN_C2186                               0     2     0     0     3
FID_LIST_APPEND_K1819                        0     0     0     2     0
FID_JSON_W_K1384                             0     0     0     2     0
FID_JSON_W_K1383                             0     0     0     2     0
FID_JSON_WRITE_LN_K1462                      0     0     0     2     0
FID_JSON_STEP_IN_STR                         0     0     0     2     0
FID_JSON_KM_PUT_GO_K504                      0     0     0     2     0
FID_JSON_KM_PUT_GO_K502                      0     0     0     2     0
FID_F64_SHORTEST_FAST_K1146                  0     2     0     0     0
FID_F64_FROM_DEC_K1575                       0     2     0     0     0
FID_F64_DIV                                  0     2     0     0     0
FID_F64_DIGITS_TEXT_K806                     0     0     0     2     0
FID_F64_DG_STEP2_K187                        0     2     0     0     0
FID_F64_DG_STEP2                             0     2     0     0     0
FID_F64_DG_FIX                               0     2     0     0     0
FID_F64_DG_DIGIT_FAST_K180                   0     2     0     0     0
FID_F64_DG_DIGIT                             0     2     0     0     0
FID_ENCODE_ROWS_OK_GO                        0     1     1     0     0
FID_ENCODE_ROWS_K1216                        0     0     0     2     0
FID_ENCODE_ROWS                              0     1     1     0     0
FID_ENCODE_PRE_K1365                         0     0     0     2     0
FID_ENCODE_PRE_K1357                         0     0     0     2     0
FID_ENCODE_PRE_K1346                         0     0     0     2     0
FID_ENCODE_PRE_K1344                         0     0     0     2     0
FID_ENCODE_LINE_INLINE_K1218                 0     0     0     2     0
FID_ENCODE_EMIT_K1323                        0     0     0     2     0
FID_ENCODE_EMIT_K1322                        0     0     0     2     0
FID_ENCODE_EMIT_K1319                        0     0     0     2     0
FID_ENCODE_EMIT_K1318                        0     0     0     2     0
FID_ENCODE_EMIT_K1315                        0     0     0     2     0
FID_ENCODE_EMIT_K1314                        0     0     0     2     0
FID_ENCODE_EMIT_K1312                        0     0     0     2     0
FID_ENCODE_EMIT_K1311                        0     0     0     2     0
FID_ENCODE_EMIT_K1310                        0     0     0     2     0
FID_ENCODE_EMIT_K1303                        0     0     0     2     0
FID_ENCODE_EMIT_K1302                        0     0     0     2     0
FID_ENCODE_EMIT_K1301                        0     0     0     2     0
FID_ENCODE_EMIT_K1300                        0     0     0     2     0
FID_ENCODE_EMIT_K1299                        0     0     0     2     0
FID_ENCODE_EMIT_K1298                        0     0     0     2     0
FID_ENCODE_EMIT_K1297                        0     0     0     2     0
FID_DECODE_X_NORM_K998                       0     0     0     2     0
FID_DECODE_X_NORM_K1001                      0     0     0     2     0
FID_DECODE_XV_OPEN_K256                      0     0     0     2     0
FID_DECODE_XO_SET_K475                       0     0     0     2     0
FID_DECODE_XM_SET_GO_K170                    0     0     0     2     0
FID_DECODE_XM_SET_GO_K168                    0     0     0     2     0
FID_DECODE_SCAN_SEGS                         0     1     1     0     0
