segment                                   peek  keep  take  seal  free
FID_TEXT_KT_PUT_GO_K588                      0     0     0     2     0
FID_STRING_TAKE_K406                         0     0     0     2     0
FID_STRING_APPEND_K1535                      0     0     0     2     0
FID_MAIN_C1798                               0     2     0     0     3
FID_MAIN_C1797                               0     2     0     0     0
FID_MAIN_C1787                               0     2     0     0     3
FID_LIST_APPEND_K1366                        0     0     0     2     0
FID_JSON_WRITE_LN_K1319                      0     0     0     2     0
FID_JSON_KM_PUT_GO_K430                      0     0     0     2     0
FID_JSON_KM_PUT_GO_K428                      0     0     0     2     0
FID_F64_SHORTEST_FAST_K947                   0     2     0     0     0
FID_F64_LITERAL                              0     1     1     0     0
FID_F64_FROM_DEC_K1042                       0     2     0     0     0
FID_F64_DIV                                  0     2     0     0     0
FID_F64_DIGITS_TEXT_K559                     0     0     0     2     0
FID_F64_DG_STEP_K258                         0     2     0     0     0
FID_F64_DG_STEP_K257                         0     2     0     0     0
FID_F64_DG_FIX                               0     2     0     0     0
FID_F64_DG_DIGIT                             0     2     0     0     0
FID_ENCODE_ROWS_OK_GO                        0     1     1     0     0
FID_ENCODE_ROWS_K1118                        0     0     0     2     0
FID_ENCODE_ROWS                              0     1     1     0     0
FID_ENCODE_PUT_PRIM                          0     0     2     0     0
FID_ENCODE_LINE_INLINE_K1120                 0     0     0     2     0
FID_ENCODE_EMIT_K1245                        0     0     0     2     0
FID_ENCODE_EMIT_K1244                        0     0     0     2     0
FID_ENCODE_EMIT_K1241                        0     0     0     2     0
FID_ENCODE_EMIT_K1240                        0     0     0     2     0
FID_ENCODE_EMIT_K1237                        0     0     0     2     0
FID_ENCODE_EMIT_K1236                        0     0     0     2     0
FID_ENCODE_EMIT_K1234                        0     0     0     2     0
FID_ENCODE_EMIT_K1233                        0     0     0     2     0
FID_ENCODE_EMIT_K1232                        0     0     0     2     0
FID_ENCODE_EMIT_K1226                        0     0     0     2     0
FID_ENCODE_EMIT_K1225                        0     0     0     2     0
FID_ENCODE_EMIT_K1224                        0     0     0     2     0
FID_ENCODE_EMIT_K1223                        0     0     0     2     0
