Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.24     0.00     3588     0.00     0.00  WL_FID_ENCODE_ROW_LINE
  0.00      4.24     0.00     3588     0.00     0.00  WL_FID_ENCODE_ROW_LINE_K1076
  0.00      4.24     0.00     3378     0.00     0.00  WL_FID_BIGNAT_SHR_BITS_K655
  0.00      4.24     0.00     2685     0.00     0.00  WL_FID_ENCODE_LINE_HDR
  0.00      4.24     0.00     2685     0.00     0.00  WL_FID_ENCODE_LINE_HDR_K1186
  0.00      4.24     0.00     2571     0.00     0.00  WL_FID_ENCODE_VKIND_K1164
  0.00      4.24     0.00     2571     0.00     0.00  spin_160
  0.00      4.24     0.00     2571     0.00     0.00  spin_319
  0.00      4.24     0.00     2417     0.00     0.00  WL_FID_ENCODE_PUT_CELLS_SEQ_K858
  0.00      4.24     0.00     2394     0.00     0.00  WL_FID_BIGNAT_SUB_K652
  0.00      4.24     0.00     1867     0.00     0.00  WL_FID_BIGNAT_CMP
  0.00      4.24     0.00     1853     0.00     0.00  WL_FID_JSON_KM_OF
  0.00      4.24     0.00     1615     0.00     0.00  WL_FID_JSON_KM_PUT_GO_K632
  0.00      4.24     0.00     1560     0.00     0.00  WL_FID_F64_DG_GEN
  0.00      4.24     0.00     1500     0.00     0.00  WL_FID_F64_DG_GEN_K469
  0.00      4.24     0.00     1500     0.00     0.00  WL_FID_F64_DG_STEP
  0.00      4.24     0.00     1457     0.00     0.00  WL_FID_JSON_KB_PUT
  0.00      4.24     0.00     1457     0.00     0.00  WL_FID_JSON_KB_PUT_GO
  0.00      4.24     0.00     1457     0.00     0.00  WL_FID_JSON_KM_OF_K861
  0.00      4.24     0.00     1457     0.00     0.00  WL_FID_JSON_KM_PUT_AT
  0.00      4.24     0.00     1457     0.00     0.00  WL_FID_JSON_KM_PUT_GO
  0.00      4.24     0.00     1457     0.00     0.00  WL_FID_JSON_KM_PUT_GO_K628
  0.00      4.24     0.00     1427     0.00     0.00  WL_FID_ENCODE_EMIT_K1275
  0.00      4.24     0.00     1378     0.00     0.00  WL_FID_BIGNAT_MUL_SMALL_K1109
  0.00      4.24     0.00     1344     0.00     0.00  WL_FID_JSON_KM_PUT_GO_K630
  0.00      4.24     0.00     1309     0.00     0.00  WL_FID_BIGNAT_ADD_K1112
  0.00      4.24     0.00     1254     0.00     0.00  WL_FID_F64_DG_DIGIT
  0.00      4.24     0.00     1149     0.00     0.00  WL_FID_ENCODE_EMIT_K1276
  0.00      4.24     0.00     1140     0.00     0.00  WL_FID_BIGNAT_IS_GE
  0.00      4.24     0.00     1140     0.00     0.00  WL_FID_BIGNAT_IS_GE_K755
  0.00      4.24     0.00     1140     0.00     0.00  WL_FID_BIGNAT_IS_LT
  0.00      4.24     0.00     1140     0.00     0.00  WL_FID_BIGNAT_IS_LT_K649
  0.00      4.24     0.00     1140     0.00     0.00  WL_FID_F64_DG_DIGIT_K228
  0.00      4.24     0.00     1140     0.00     0.00  WL_FID_F64_DG_DIGIT_K229
  0.00      4.24     0.00     1140     0.00     0.00  WL_FID_F64_DG_SUB_IF
  0.00      4.24     0.00      912     0.00     0.00  WL_FID_BIGNAT_MUL_SMALL
  0.00      4.24     0.00      766     0.00     0.00  WL_FID_STRING_REPEAT_K490
  0.00      4.24     0.00      721     0.00     0.00  WL_FID_BIGNAT_ADD
  0.00      4.24     0.00      590     0.00     0.00  WL_FID_BIGNAT_SUB
  0.00      4.24     0.00      554     0.00     0.00  WL_FID_BIGNAT_ADD_K1113
  0.00      4.24     0.00      460     0.00     0.00  spin_184
  0.00      4.24     0.00      460     0.00     0.00  spin_185
  0.00      4.24     0.00      445     0.00     0.00  WL_FID_BIGNAT_ADD_K1111
  0.00      4.24     0.00      396     0.00     0.00  WL_FID_ENCODE_ROW_OK_K728
  0.00      4.24     0.00      396     0.00     0.00  spin_207
  0.00      4.24     0.00      396     0.00     0.00  spin_208
  0.00      4.24     0.00      390     0.00     0.00  WL_FID_F64_TOKEN_LITERAL
  0.00      4.24     0.00      390     0.00     0.00  spin_41
  0.00      4.24     0.00      384     0.00     0.00  WL_FID_BIGNAT_MUL
  0.00      4.24     0.00      360     0.00     0.00  WL_FID_F64_DG_FIX
  0.00      4.24     0.00      301     0.00     0.00  WL_FID_JSON_NUM_VALUE_K1151
  0.00      4.24     0.00      300     0.00     0.00  WL_FID_F64_DG_FIX_K605
  0.00      4.24     0.00      300     0.00     0.00  WL_FID_F64_DG_FIX_K606
  0.00      4.24     0.00      300     0.00     0.00  WL_FID_F64_DG_FIX_K607
  0.00      4.24     0.00      300     0.00     0.00  WL_FID_F64_DG_FIX_NEXT
  0.00      4.24     0.00      298     0.00     0.00  spin_61
  0.00      4.24     0.00      282     0.00     0.00  WL_FID_BIGNAT_MUL_K1228
  0.00      4.24     0.00      282     0.00     0.00  WL_FID_BIGNAT_MUL_K1229
  0.00      4.24     0.00      251     0.00     0.00  WL_FID_BIGNAT_FROM_DEC
  0.00      4.24     0.00      220     0.00     0.00  spin_224
  0.00      4.24     0.00      171     0.00     0.00  WL_FID_BIGNAT_FROM_DEC_K71
  0.00      4.24     0.00      115     0.00     0.00  WL_FID_BIGNAT_POW10
  0.00      4.24     0.00      114     0.00     0.00  WL_FID_F64_DG_STEP_K326
  0.00      4.24     0.00      114     0.00     0.00  WL_FID_F64_DG_STEP_K327
  0.00      4.24     0.00      114     0.00     0.00  WL_FID_F64_DG_STEP_K328
  0.00      4.24     0.00      114     0.00     0.00  WL_FID_F64_DG_STEP_K329
  0.00      4.24     0.00      114     0.00     0.00  WL_FID_F64_DG_STEP_K330
  0.00      4.24     0.00      114     0.00     0.00  WL_FID_F64_DG_STEP_K331
  0.00      4.24     0.00      114     0.00     0.00  WL_FID_F64_DG_STEP_K332
  0.00      4.24     0.00      114     0.00     0.00  WL_FID_F64_DG_STEP_K333
  0.00      4.24     0.00      114     0.00     0.00  WL_FID_F64_DG_STEP_K334
  0.00      4.24     0.00      109     0.00     0.00  WL_FID_ENCODE_EMIT_K1273
  0.00      4.24     0.00       89     0.00     0.00  WL_FID_JSON_NUM_VALUE_K1154
  0.00      4.24     0.00       85     0.00     0.00  WL_FID_BIGNAT_IS_EQ
  0.00      4.24     0.00       85     0.00     0.00  WL_FID_BIGNAT_IS_EQ_K587
  0.00      4.24     0.00       82     0.00     0.00  WL_FID_CLO_APPLY
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_BIGNAT_DIV_POW10
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_BIGNAT_DIV_POW10_K40
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_BIGNAT_DIV_POW5
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_BIGNAT_P5_STEP
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_BIGNAT_P5_STEP_K21
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_F64_FROM_DEC_P10
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_F64_FROM_DEC_P10_K73
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_F64_FROM_DEC_P10_K74
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_F64_ROUND_K1232
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_F64_ROUND_K1233
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_F64_TOKEN_RANGE
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_F64_TOKEN_RANGE_K338
  0.00      4.24     0.00       80     0.00     0.00  WL_FID_F64_TOKEN_RANGE_K339
  0.00      4.24     0.00       80     0.00     0.00  spin_87
  0.00      4.24     0.00       62     0.00     0.00  WL_FID_F64_DG_FIX_NEXT_K466
  0.00      4.24     0.00       60     0.00     0.00  WL_FID_F64_DG_INIT
  0.00      4.24     0.00       60     0.00     0.00  WL_FID_F64_DG_INIT_K595
  0.00      4.24     0.00       60     0.00     0.00  WL_FID_F64_DG_INIT_K596
  0.00      4.24     0.00       60     0.00     0.00  WL_FID_F64_DG_SCALE
  0.00      4.24     0.00       60     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K916
  0.00      4.24     0.00       60     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K917
  0.00      4.24     0.00       60     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K918
  0.00      4.24     0.00       60     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K919
  0.00      4.24     0.00       60     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K920
  0.00      4.24     0.00       60     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K921
  0.00      4.24     0.00       55     0.00     0.00  WL_FID_BIGNAT_POW10_K1226
  0.00      4.24     0.00       52     0.00     0.00  io_mem
  0.00      4.24     0.00       45     0.00     0.00  WL_FID_STRING_TAKE_K488
  0.00      4.24     0.00       39     0.00     0.00  WL_FID_F64_DG_SCALE_K600
  0.00      4.24     0.00       39     0.00     0.00  WL_FID_F64_PLAIN_K752
  0.00      4.24     0.00       39     0.00     0.00  WL_FID_F64_PLAIN_K753
  0.00      4.24     0.00       39     0.00     0.00  WL_FID_STRING_TAKE
  0.00      4.24     0.00       38     0.00     0.00  spin_236
  0.00      4.24     0.00       38     0.00     0.00  spin_237
  0.00      4.24     0.00       35     0.00     0.00  WL_FID_TEXT_KS_PUT_GO_K736
  0.00      4.24     0.00       32     0.00     0.00  spin_107
  0.00      4.24     0.00       30     0.00     0.00  spin_386
